"Endeavor Air"	0.025842052399793425
"American Airlines Inc"	0.01630094522577
"Alaska Airlines Inc"	0.008980269448773401
"JetBlue Airways"	0.021045211632405494
"Delta Air Lines Inc"	0.0037164891818351324
"Atlantic Southeast Airlines"	0.02794617773177584
"Frontier Airlines Inc"	0.019394343316532676
"Allegiant Air LLC"	0.007992018374367341
"Hawaiian Airlines Inc"	0.002986037289633673
"American Eagle Airlines Inc"	0.035996500011824285
"Spirit Air Lines"	0.009859346796989408
"PSA Airlines Inc"	0.042627766585146
"Skywest Airlines Inc"	0.013705584412061432
"United Air Lines Inc"	0.007888153290484503
"Virgin America"	0.0245048104131296
"Southwest Airlines Co"	0.013511495306649947
"Mesa Airlines Inc"	0.025704431574152406
"Republic Airways In"	0.031952924799898766
